"AGE","AGE_ADJUSTED_RATE","CRUDE_RATE","EVENT_TYPE","RACE","SEX","SITE","YEAR","COUNT","POPULATION"
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2007",415,60681615
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2008",436,60907384
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2009",400,61087581
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2010",431,61200686
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2011",429,61168631
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2012",399,61113314
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2013",437,61067866
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2013-2017",2212,305059222
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2014",449,61053482
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2015",446,60999735
"0-14",0.8,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2016",459,60975441
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Acute Myeloid","2017",421,60962698
"0-14",14.5,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","1999",8498,58588724
"0-14",15,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2000",8809,58914904
"0-14",15.6,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2001",9331,59815030
"0-14",15.5,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2002",9296,59931314
"0-14",15.2,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2003",9254,60628650
"0-14",16,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2004",9742,60651802
"0-14",15.6,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2005",9489,60519046
"0-14",15.9,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2006",9672,60516709
"0-14",16.2,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2007",9918,60681615
"0-14",16.5,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2008",10126,60907384
"0-14",16.3,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2009",10045,61087581
"0-14",17.1,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2010",10483,61200686
"0-14",17,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2011",10457,61168631
"0-14",17,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2012",10396,61113314
"0-14",17.2,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2013",10532,61067866
"0-14",17.4,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2013-2017",53060,305059222
"0-14",17.6,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2014",10756,61053482
"0-14",17.8,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2015",10890,60999735
"0-14",17.5,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2016",10697,60975441
"0-14",16.7,NA,"Incidence","All Races","Male and Female","All Cancer Sites Combined","2017",10185,60962698
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Bones and Joints","1999",432,58588724
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Bones and Joints","2000",399,58914904
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Bones and Joints","2001",433,59815030
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Bones and Joints","2002",430,59931314
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Bones and Joints","2003",420,60628650
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Bones and Joints","2004",453,60651802
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Bones and Joints","2005",422,60519046
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Bones and Joints","2006",439,60516709
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Bones and Joints","2007",427,60681615
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Bones and Joints","2008",425,60907384
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Bones and Joints","2009",434,61087581
"0-14",0.7,NA,"Incidence","All Races","Male and Female","Bones and Joints","2010",422,61200686
"0-14",0.8,NA,"Incidence","All Races","Male and Female","Bones and Joints","2011",465,61168631
"0-14",0.8,NA,"Incidence","All Races","Male and Female","Bones and Joints","2012",458,61113314
"0-14",0.8,NA,"Incidence","All Races","Male and Female","Bones and Joints","2013",469,61067866
"0-14",0.8,NA,"Incidence","All Races","Male and Female","Bones and Joints","2013-2017",2404,305059222
"0-14",0.8,NA,"Incidence","All Races","Male and Female","Bones and Joints","2014",499,61053482
"0-14",0.8,NA,"Incidence","All Races","Male and Female","Bones and Joints","2015",476,60999735
"0-14",0.8,NA,"Incidence","All Races","Male and Female","Bones and Joints","2016",501,60975441
"0-14",0.8,NA,"Incidence","All Races","Male and Female","Bones and Joints","2017",459,60962698
"0-14",3.3,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","1999",1913,58588724
"0-14",3.4,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2000",2021,58914904
"0-14",3.4,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2001",2001,59815030
"0-14",3.5,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2002",2113,59931314
"0-14",3.4,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2003",2030,60628650
"0-14",3.6,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2004",2176,60651802
"0-14",3.4,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2005",2061,60519046
"0-14",3.5,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2006",2120,60516709
"0-14",3.6,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2007",2209,60681615
"0-14",3.7,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2008",2231,60907384
"0-14",3.6,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2009",2215,61087581
"0-14",3.7,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2010",2290,61200686
"0-14",3.7,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2011",2245,61168631
"0-14",3.6,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2012",2218,61113314
"0-14",3.8,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2013",2309,61067866
"0-14",3.7,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2013-2017",11205,305059222
"0-14",3.7,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2014",2285,61053482
"0-14",3.6,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2015",2202,60999735
"0-14",3.6,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2016",2190,60975441
"0-14",3.6,NA,"Incidence","All Races","Male and Female","Brain and Other Nervous System","2017",2219,60962698
"0-14",0.5,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","1999",320,58588724
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2000",345,58914904
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2001",356,59815030
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2002",336,59931314
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2003",363,60628650
"0-14",0.5,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2004",324,60651802
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2005",360,60519046
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2006",374,60516709
"0-14",0.5,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2007",332,60681615
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2008",383,60907384
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2009",348,61087581
"0-14",0.5,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2010",322,61200686
"0-14",0.5,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2011",316,61168631
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2012",353,61113314
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2013",337,61067866
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2013-2017",1731,305059222
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2014",337,61053482
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2015",361,60999735
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2016",352,60975441
"0-14",0.6,NA,"Incidence","All Races","Male and Female","Hodgkin Lymphoma","2017",344,60962698
"0-14",0.8,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","1999",486,58588724
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2000",526,58914904
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2001",526,59815030
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2002",509,59931314
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2003",528,60628650
"0-14",0.8,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2004",508,60651802
"0-14",0.8,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2005",518,60519046
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2006",524,60516709
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2007",544,60681615
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2008",571,60907384
"0-14",1,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2009",593,61087581
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2010",543,61200686
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2011",575,61168631
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2012",544,61113314
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2013",561,61067866
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2013-2017",2799,305059222
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2014",575,61053482
"0-14",1,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2015",608,60999735
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2016",535,60975441
"0-14",0.8,NA,"Incidence","All Races","Male and Female","Kidney and Renal Pelvis","2017",520,60962698
"0-14",4.5,NA,"Incidence","All Races","Male and Female","Leukemia","1999",2643,58588724
"0-14",4.6,NA,"Incidence","All Races","Male and Female","Leukemia","2000",2694,58914904
"0-14",4.9,NA,"Incidence","All Races","Male and Female","Leukemia","2001",2886,59815030
"0-14",4.7,NA,"Incidence","All Races","Male and Female","Leukemia","2002",2830,59931314
"0-14",4.6,NA,"Incidence","All Races","Male and Female","Leukemia","2003",2752,60628650
"0-14",5,NA,"Incidence","All Races","Male and Female","Leukemia","2004",3002,60651802
"0-14",4.8,NA,"Incidence","All Races","Male and Female","Leukemia","2005",2891,60519046
"0-14",5,NA,"Incidence","All Races","Male and Female","Leukemia","2006",3010,60516709
"0-14",5,NA,"Incidence","All Races","Male and Female","Leukemia","2007",3069,60681615
"0-14",5.2,NA,"Incidence","All Races","Male and Female","Leukemia","2008",3168,60907384
"0-14",5.1,NA,"Incidence","All Races","Male and Female","Leukemia","2009",3133,61087581
"0-14",5.1,NA,"Incidence","All Races","Male and Female","Leukemia","2010",3161,61200686
"0-14",5.2,NA,"Incidence","All Races","Male and Female","Leukemia","2011",3204,61168631
"0-14",5,NA,"Incidence","All Races","Male and Female","Leukemia","2012",3045,61113314
"0-14",4.9,NA,"Incidence","All Races","Male and Female","Leukemia","2013",2984,61067866
"0-14",5,NA,"Incidence","All Races","Male and Female","Leukemia","2013-2017",15308,305059222
"0-14",5,NA,"Incidence","All Races","Male and Female","Leukemia","2014",3047,61053482
"0-14",5.2,NA,"Incidence","All Races","Male and Female","Leukemia","2015",3171,60999735
"0-14",5.2,NA,"Incidence","All Races","Male and Female","Leukemia","2016",3178,60975441
"0-14",4.8,NA,"Incidence","All Races","Male and Female","Leukemia","2017",2928,60962698
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","1999",521,58588724
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2000",553,58914904
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2001",544,59815030
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2002",541,59931314
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2003",548,60628650
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2004",574,60651802
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2005",555,60519046
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2006",551,60516709
"0-14",1,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2007",596,60681615
"0-14",1,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2008",582,60907384
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2009",577,61087581
"0-14",1,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2010",594,61200686
"0-14",0.9,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2011",562,61168631
"0-14",1,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2012",618,61113314
"0-14",1,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2013",599,61067866
"0-14",1,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2013-2017",3176,305059222
"0-14",1.1,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2014",698,61053482
"0-14",1,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2015",621,60999735
"0-14",1.1,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2016",664,60975441
"0-14",1,NA,"Incidence","All Races","Male and Female","Non-Hodgkin Lymphoma","2017",594,60962698
"0-14",2.9,NA,"Incidence","All Races","Male and Female","Other","1999",1692,58588724
"0-14",2.9,NA,"Incidence","All Races","Male and Female","Other","2000",1710,58914904
"0-14",3.3,NA,"Incidence","All Races","Male and Female","Other","2001",2001,59815030
"0-14",3.2,NA,"Incidence","All Races","Male and Female","Other","2002",1934,59931314
"0-14",3.3,NA,"Incidence","All Races","Male and Female","Other","2003",2031,60628650
"0-14",3.4,NA,"Incidence","All Races","Male and Female","Other","2004",2097,60651802
"0-14",3.4,NA,"Incidence","All Races","Male and Female","Other","2005",2075,60519046
"0-14",3.4,NA,"Incidence","All Races","Male and Female","Other","2006",2059,60516709
"0-14",3.4,NA,"Incidence","All Races","Male and Female","Other","2007",2090,60681615
"0-14",3.4,NA,"Incidence","All Races","Male and Female","Other","2008",2098,60907384
"0-14",3.4,NA,"Incidence","All Races","Male and Female","Other","2009",2103,61087581
"0-14",4,NA,"Incidence","All Races","Male and Female","Other","2010",2493,61200686
"0-14",4,NA,"Incidence","All Races","Male and Female","Other","2011",2473,61168631
"0-14",4.1,NA,"Incidence","All Races","Male and Female","Other","2012",2518,61113314
"0-14",4.3,NA,"Incidence","All Races","Male and Female","Other","2013",2606,61067866
"0-14",4.3,NA,"Incidence","All Races","Male and Female","Other","2013-2017",13214,305059222
"0-14",4.4,NA,"Incidence","All Races","Male and Female","Other","2014",2664,61053482
"0-14",4.6,NA,"Incidence","All Races","Male and Female","Other","2015",2787,60999735
"0-14",4.3,NA,"Incidence","All Races","Male and Female","Other","2016",2638,60975441
"0-14",4.1,NA,"Incidence","All Races","Male and Female","Other","2017",2519,60962698
"0-14",0.8,NA,"Incidence","All Races","Male and Female","Soft Tissue","1999",491,58588724
"0-14",1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2000",561,58914904
"0-14",1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2001",584,59815030
"0-14",1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2002",603,59931314
"0-14",1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2003",582,60628650
"0-14",1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2004",608,60651802
"0-14",1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2005",607,60519046
"0-14",1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2006",595,60516709
"0-14",1.1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2007",651,60681615
"0-14",1.1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2008",668,60907384
"0-14",1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2009",642,61087581
"0-14",1.1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2010",658,61200686
"0-14",1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2011",617,61168631
"0-14",1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2012",642,61113314
"0-14",1.1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2013",667,61067866
"0-14",1.1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2013-2017",3223,305059222
"0-14",1.1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2014",651,61053482
"0-14",1.1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2015",664,60999735
"0-14",1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2016",639,60975441
"0-14",1,NA,"Incidence","All Races","Male and Female","Soft Tissue","2017",602,60962698
"0-14",0.3,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","1999",194,59955368
"0-14",0.4,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2000",234,60279841
"0-14",0.3,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2001",208,60450257
"0-14",0.4,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2002",217,60563030
"0-14",0.4,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2003",246,60628650
"0-14",0.3,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2004",202,60651802
"0-14",0.3,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2005",188,60519046
"0-14",0.3,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2006",174,60516709
"0-14",0.4,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2007",212,60681615
"0-14",0.3,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2008",176,60907384
"0-14",0.3,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2009",174,61087581
"0-14",0.3,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2010",164,61200686
"0-14",0.3,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2011",153,61168631
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2012",152,61113314
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2013",141,61067866
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2013-2017",696,305059222
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2014",141,61053482
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2015",146,60999735
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2016",146,60975441
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Lymphocytic","2017",122,60962698
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","1999",141,59955368
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2000",145,60279841
"0-14",0.3,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2001",157,60450257
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2002",131,60563030
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2003",142,60628650
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2004",147,60651802
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2005",137,60519046
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2006",124,60516709
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2007",129,60681615
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2008",127,60907384
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2009",119,61087581
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2010",131,61200686
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2011",117,61168631
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2012",137,61113314
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2013",127,61067866
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2013-2017",601,305059222
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2014",94,61053482
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2015",119,60999735
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2016",133,60975441
"0-14",0.2,NA,"Mortality","All Races","Male and Female","Acute Myeloid","2017",128,60962698
"0-14",2.5,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","1999",1498,59955368
"0-14",2.5,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2000",1526,60279841
"0-14",2.5,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2001",1494,60450257
"0-14",2.6,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2002",1548,60563030
"0-14",2.5,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2003",1543,60628650
"0-14",2.5,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2004",1492,60651802
"0-14",2.4,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2005",1452,60519046
"0-14",2.2,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2006",1360,60516709
"0-14",2.3,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2007",1395,60681615
"0-14",2.2,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2008",1354,60907384
"0-14",2.2,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2009",1320,61087581
"0-14",2.2,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2010",1324,61200686
"0-14",2.1,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2011",1283,61168631
"0-14",2.2,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2012",1367,61113314
"0-14",2.1,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2013",1287,61067866
"0-14",2.1,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2013-2017",6345,305059222
"0-14",2,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2014",1225,61053482
"0-14",2.1,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2015",1272,60999735
"0-14",2.2,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2016",1324,60975441
"0-14",2,NA,"Mortality","All Races","Male and Female","All Cancer Sites Combined","2017",1237,60962698
"0-14",0.1,NA,"Mortality","All Races","Male and Female","Bones and Joints","1999",82,59955368
"0-14",0.1,NA,"Mortality","All Races","Male and Female","Bones and Joints","2000",83,60279841
"0-14",0.1,NA,"Mortality","All Races","Male and Female","Bones and Joints","2001",88,60450257
"0-14",0.1,NA,"Mortality","All Races","Male and Female","Bones and Joints","2002",85,60563030
"0-14",0.1,NA,"Mortality","All Races","Male and Female","Bones and Joints","2003",82,60628650
"0-14",0.1,NA,"Mortality","All Races","Male and Female","Bones and Joints","2004",75,60651802
"0-14",0.1,NA,"Mortality","All Races","Male and Female","Bones and Joints","2005",88,60519046
"0-14",0.1,NA,"Mortality","All Races","Male and Female","Bones and Joints","2006",59,60516709
"0-14",0.1,NA,"Mortality","All Races","Male and Female","Bones and Joints","2007",61,60681615
"0-14",0.1,NA,"Mortality","All Races","Male and Female","Bones and Joints","2008",62,60907384
"0-14",0.1,NA,"Mortality","All Races","Male and Female","Bones and Joints","2009",77,61087581
